type,id,name,category,rarity,conditions,Adventure mode rarity
item,minecraft:dead_fire_coral_fan,Dead Fire Coral Fan,Coral,epic,,
item,minecraft:dead_horn_coral,Dead Horn Coral,Coral,epic,,
item,minecraft:dead_horn_coral_block,Dead Horn Coral Block,Coral,epic,,
item,minecraft:dead_horn_coral_fan,Dead Horn Coral Fan,Coral,epic,,
item,minecraft:dead_tube_coral,Dead Tube Coral,Coral,epic,,
item,minecraft:dead_tube_coral_block,Dead Tube Coral Block,Coral,epic,,
item,minecraft:dead_tube_coral_fan,Dead Tube Coral Fan,Coral,epic,,
item,minecraft:fire_coral,Fire Coral,Coral,epic,,
item,minecraft:fire_coral_block,Fire Coral Block,Coral,epic,,mythic
item,minecraft:fire_coral_fan,Fire Coral Fan,Coral,epic,,
item,minecraft:horn_coral,Horn Coral,Coral,epic,,
item,minecraft:horn_coral_block,Horn Coral Block,Coral,epic,,mythic
item,minecraft:horn_coral_fan,Horn Coral Fan,Coral,epic,,
item,minecraft:tube_coral,Tube Coral,Coral,epic,,
item,minecraft:tube_coral_block,Tube Coral Block,Coral,epic,,mythic
item,minecraft:tube_coral_fan,Tube Coral Fan,Coral,epic,,
item,minecraft:black_dye,Black Dye,Dye,common,,uncommon
item,minecraft:blue_dye,Blue Dye,Dye,common,,common
item,minecraft:gray_dye,Gray Dye,Dye,common,,uncommon
item,minecraft:light_blue_dye,Light Blue Dye,Dye,common,,uncommon
item,minecraft:light_gray_dye,Light Gray Dye,Dye,common,,common
item,minecraft:magenta_dye,Magenta Dye,Dye,common,,uncommon
item,minecraft:orange_dye,Orange Dye,Dye,common,,common
item,minecraft:pink_dye,Pink Dye,Dye,common,,uncommon
item,minecraft:purple_dye,Purple Dye,Dye,common,,common
item,minecraft:red_dye,Red Dye,Dye,common,,common
item,minecraft:white_dye,White Dye,Dye,common,,uncommon
item,minecraft:yellow_dye,Yellow Dye,Dye,common,,common
item,minecraft:cyan_dye,Cyan Dye,Dye,rare,,uncommon
item,minecraft:green_dye,Green Dye,Dye,rare,,uncommon
item,minecraft:lime_dye,Lime Dye,Dye,rare,,uncommon
item,minecraft:brown_dye,Brown Dye,Dye,uncommon,,uncommon
item,minecraft:chorus_flower,Chorus Flower,End,mythic,,mythic
item,minecraft:chorus_fruit,Chorus Fruit,End,mythic,,mythic
item,minecraft:dragon_egg,Dragon Egg,End,mythic,,mythic
item,minecraft:dragon_breath,Dragon's Breath,End,mythic,,mythic
item,minecraft:elytra,Elytra,End,mythic,,mythic
item,minecraft:end_rod,End Rod,End,mythic,,mythic
item,minecraft:end_stone,End Stone,End,mythic,,mythic
item,minecraft:end_stone_brick_slab,End Stone Brick Slab,End,mythic,,mythic
item,minecraft:end_stone_brick_stairs,End Stone Brick Stairs,End,mythic,,mythic
item,minecraft:end_stone_brick_wall,End Stone Brick Wall,End,mythic,,mythic
item,minecraft:end_stone_bricks,End Stone Bricks,End,mythic,,mythic
item,minecraft:lingering_potion,Lingering Potion,End,mythic,,mythic
item,minecraft:popped_chorus_fruit,Popped Chorus Fruit,End,mythic,,mythic
item,minecraft:purpur_block,Purpur Block,End,mythic,,mythic
item,minecraft:purpur_pillar,Purpur Pillar,End,mythic,,mythic
item,minecraft:purpur_slab,Purpur Slab,End,mythic,,mythic
item,minecraft:purpur_stairs,Purpur Stairs,End,mythic,,mythic
item,minecraft:shulker_shell,Shulker Shell,End,mythic,,mythic
item,minecraft:apple,Apple,Farm,common,,uncommon
item,minecraft:azure_bluet,Azure Bluet,Farm,common,,common
item,minecraft:bone_meal,Bone Meal,Farm,common,,common
item,minecraft:bread,Bread,Farm,common,,uncommon
item,minecraft:cartography_table,Cartography Table,Farm,common,,uncommon
item,minecraft:cornflower,Cornflower,Farm,common,,common
item,minecraft:dandelion,Dandelion,Farm,common,,common
item,minecraft:firefly_bush,Firefly Bush,Farm,common,,common
item,minecraft:leaf_litter,Leaf Litter,Farm,common,,common
item,minecraft:oxeye_daisy,Oxeye Daisy,Farm,common,,common
item,minecraft:paper,Paper,Farm,common,,uncommon
item,minecraft:poppy,Poppy,Farm,common,,common
item,minecraft:sugar,Sugar,Farm,common,,common
item,minecraft:sugar_cane,Sugar Cane,Farm,common,,common
item,minecraft:wheat,Wheat,Farm,common,,uncommon
item,minecraft:wheat_seeds,Wheat Seeds,Farm,common,,common
item,minecraft:wildflowers,Wildflowers,Farm,common,,common
item,minecraft:bee_nest,Bee Nest,Farm,epic,,
item,minecraft:beehive,Beehive,Farm,epic,,rare
item,minecraft:brown_mushroom_block,Brown Mushroom Block,Farm,epic,,
item,minecraft:honey_block,Honey Block,Farm,epic,,rare
item,minecraft:mushroom_stem,Mushroom Stem,Farm,epic,,
item,minecraft:open_eyeblossom,Open Eyeblossom,Farm,epic,,epic
item,minecraft:pale_hanging_moss,Pale Hanging Moss,Farm,epic,,mythic
item,minecraft:pale_moss_block,Pale Moss Block,Farm,epic,,epic
item,minecraft:pale_moss_carpet,Pale Moss Carpet,Farm,epic,,epic
item,minecraft:red_mushroom_block,Red Mushroom Block,Farm,epic,,
item,minecraft:chorus_plant,Chorus Plant,Farm,mythic,,
item,minecraft:pitcher_plant,Pitcher Plant,Farm,mythic,,
item,minecraft:pitcher_pod,Pitcher Pod,Farm,mythic,,
item,minecraft:torchflower,Torchflower,Farm,mythic,,
item,minecraft:torchflower_seeds,Torchflower Seeds,Farm,mythic,,
item,minecraft:allium,Allium,Farm,rare,,uncommon
item,minecraft:beetroot,Beetroot,Farm,rare,,uncommon
item,minecraft:beetroot_seeds,Beetroot Seeds,Farm,rare,,uncommon
item,minecraft:beetroot_soup,Beetroot Soup,Farm,rare,,uncommon
item,minecraft:blue_orchid,Blue Orchid,Farm,rare,,uncommon
item,minecraft:cactus,Cactus,Farm,rare,,uncommon
item,minecraft:cactus_flower,Cactus Flower,Farm,rare,,uncommon
item,minecraft:cake,Cake,Farm,rare,,rare
item,minecraft:closed_eyeblossom,Closed Eyeblossom,Farm,rare,requires daylight cycle enabled,rare
item,minecraft:dead_bush,Dead Bush,Farm,rare,,rare
item,minecraft:glow_berries,Glow Berries,Farm,rare,,rare
item,minecraft:honey_bottle,Honey Bottle,Farm,rare,,rare
item,minecraft:honeycomb,Honeycomb,Farm,rare,,rare
item,minecraft:honeycomb_block,Honeycomb Block,Farm,rare,,rare
item,minecraft:large_fern,Large Fern,Farm,rare,,rare
item,minecraft:lily_of_the_valley,Lily of the Valley,Farm,rare,,uncommon
item,minecraft:lily_pad,Lily Pad,Farm,rare,,uncommon
item,minecraft:orange_tulip,Orange Tulip,Farm,rare,,uncommon
item,minecraft:pink_petals,Pink Petals,Farm,rare,,uncommon
item,minecraft:pink_tulip,Pink Tulip,Farm,rare,,uncommon
item,minecraft:poisonous_potato,Poisonous Potato,Farm,rare,,rare
item,minecraft:pumpkin_pie,Pumpkin Pie,Farm,rare,,rare
item,minecraft:rabbit_stew,Rabbit Stew,Farm,rare,,rare
item,minecraft:rabbit_foot,Rabbit's Foot,Farm,rare,,rare
item,minecraft:red_tulip,Red Tulip,Farm,rare,,uncommon
item,minecraft:short_dry_grass,Short Dry Grass,Farm,rare,,mythic
item,minecraft:sunflower,Sunflower,Farm,rare,,uncommon
item,minecraft:tall_dry_grass,Tall Dry Grass,Farm,rare,,rare
item,minecraft:tall_grass,Tall Grass,Farm,rare,,rare
item,minecraft:white_tulip,White Tulip,Farm,rare,,uncommon
item,minecraft:baked_potato,Baked Potato,Farm,uncommon,,uncommon
